condition,cases_attempted,cases_evaluated,improved_count,unchanged_count,degraded_count,complete_repair_count,effective_repair_count,mean_delta_bpr,median_delta_bpr
C,30,12,0,8,4,0,0,-0.06250000000000001,0.0
D,30,10,0,10,0,0,0,0.0,0.0
E,30,13,3,9,1,0,3,0.014328808446455506,0.0
