condition,cases_attempted,cases_evaluated,improved_count,unchanged_count,degraded_count,complete_repair_count,effective_repair_count,mean_delta_bpr,median_delta_bpr
C,30,12,0,9,3,0,0,-0.041666666666666685,0.0
D,30,5,0,5,0,0,0,0.0,0.0
E,30,9,3,6,0,0,3,0.03921568627450981,0.0
